date,name,value
2021-01-31,gin-gonic/gin,43015
2021-02-28,gin-gonic/gin,43761
2021-03-31,gin-gonic/gin,44609
2021-04-30,gin-gonic/gin,45442
2021-05-31,gin-gonic/gin,46218
2021-06-30,gin-gonic/gin,46962
2021-07-31,gin-gonic/gin,47776
2021-08-31,gin-gonic/gin,48794
2021-09-30,gin-gonic/gin,49643
2021-10-31,gin-gonic/gin,50402
2021-11-30,gin-gonic/gin,51242
2021-12-31,gin-gonic/gin,52169
2022-01-31,gin-gonic/gin,53054
2022-02-28,gin-gonic/gin,53882
2022-03-31,gin-gonic/gin,54995
2022-04-30,gin-gonic/gin,56235
2022-05-31,gin-gonic/gin,57610
2022-06-30,gin-gonic/gin,58619
2022-07-31,gin-gonic/gin,59575
2022-08-31,gin-gonic/gin,60470
2022-09-30,gin-gonic/gin,61325
2022-10-31,gin-gonic/gin,62093
2022-11-30,gin-gonic/gin,62910
2022-12-31,gin-gonic/gin,63670
2023-01-31,gin-gonic/gin,64336
2023-02-28,gin-gonic/gin,65132
2023-03-31,gin-gonic/gin,65997
2023-04-30,gin-gonic/gin,66729
2023-05-31,gin-gonic/gin,67505
2023-06-30,gin-gonic/gin,68318
2023-07-31,gin-gonic/gin,69068
2023-08-31,gin-gonic/gin,69852
2023-09-30,gin-gonic/gin,70489
2023-10-31,gin-gonic/gin,71089
2023-11-30,gin-gonic/gin,71697
2023-12-31,gin-gonic/gin,72307
2024-01-31,gin-gonic/gin,72968
2024-02-29,gin-gonic/gin,73538
2024-03-31,gin-gonic/gin,74248
2024-04-30,gin-gonic/gin,74854
2024-05-31,gin-gonic/gin,75456
2024-06-30,gin-gonic/gin,76112
2024-07-31,gin-gonic/gin,76741
2024-08-31,gin-gonic/gin,77349
2024-09-30,gin-gonic/gin,77932
2024-10-31,gin-gonic/gin,78500
2024-11-30,gin-gonic/gin,79107
2024-12-31,gin-gonic/gin,79650
2025-01-31,gin-gonic/gin,79772
2013-12-31,grafana/grafana,0
2014-01-31,grafana/grafana,772
2014-02-28,grafana/grafana,1178
2014-03-31,grafana/grafana,1556
2014-04-30,grafana/grafana,1799
2014-05-31,grafana/grafana,2010
2014-06-30,grafana/grafana,2162
2014-07-31,grafana/grafana,2340
2014-08-31,grafana/grafana,2745
2014-09-30,grafana/grafana,2980
2014-10-31,grafana/grafana,3189
2014-11-30,grafana/grafana,3401
2014-12-31,grafana/grafana,3689
2015-01-31,grafana/grafana,3948
2015-02-28,grafana/grafana,4242
2015-03-31,grafana/grafana,4499
2015-04-30,grafana/grafana,4835
2015-05-31,grafana/grafana,5077
2015-06-30,grafana/grafana,5313
2015-07-31,grafana/grafana,5531
2015-08-31,grafana/grafana,5749
2015-09-30,grafana/grafana,5995
2015-10-31,grafana/grafana,6322
2015-11-30,grafana/grafana,6636
2015-12-31,grafana/grafana,6961
2016-01-31,grafana/grafana,7284
2016-02-29,grafana/grafana,7721
2016-03-31,grafana/grafana,8170
2016-04-30,grafana/grafana,8565
2016-05-31,grafana/grafana,9165
2016-06-30,grafana/grafana,9558
2016-07-31,grafana/grafana,9978
2016-08-31,grafana/grafana,10437
2016-09-30,grafana/grafana,10895
2016-10-31,grafana/grafana,11216
2016-11-30,grafana/grafana,11909
2016-12-31,grafana/grafana,12410
2017-01-31,grafana/grafana,12873
2017-02-28,grafana/grafana,13378
2017-03-31,grafana/grafana,13917
